{x=1416,m=956,a=1806,s=486}
{x=1323,m=803,a=1448,s=431}
{x=14,m=10,a=627,s=100}
{x=1552,m=518,a=453,s=556}
{x=776,m=662,a=999,s=71}
{x=276,m=1998,a=697,s=609}
{x=394,m=312,a=977,s=1725}
{x=2881,m=1055,a=1227,s=1305}
{x=291,m=1472,a=124,s=909}
{x=432,m=318,a=81,s=1366}
{x=33,m=1458,a=2477,s=2271}
{x=668,m=991,a=807,s=2695}
{x=707,m=301,a=99,s=183}
{x=1938,m=663,a=2305,s=198}
{x=520,m=2956,a=22,s=771}
{x=506,m=502,a=374,s=424}
{x=1184,m=1301,a=1440,s=2597}
{x=815,m=365,a=407,s=1487}
{x=378,m=2527,a=3033,s=60}
{x=312,m=2976,a=1395,s=10}
{x=275,m=131,a=735,s=2734}
{x=844,m=336,a=983,s=1739}
{x=40,m=483,a=20,s=1259}
{x=1473,m=1928,a=509,s=16}
{x=1175,m=225,a=2,s=137}
{x=233,m=2096,a=1004,s=1826}
{x=1522,m=122,a=210,s=117}
{x=990,m=1687,a=1292,s=889}
{x=2392,m=882,a=3045,s=952}
{x=109,m=240,a=1363,s=2667}
{x=141,m=586,a=122,s=483}
{x=857,m=31,a=834,s=294}
{x=221,m=508,a=1008,s=1649}
{x=1839,m=1773,a=152,s=428}
{x=1869,m=310,a=81,s=660}
{x=276,m=1473,a=404,s=412}
{x=315,m=833,a=3220,s=837}
{x=97,m=717,a=2315,s=70}
{x=1088,m=610,a=2280,s=775}
{x=293,m=242,a=110,s=96}
{x=310,m=639,a=75,s=39}
{x=138,m=1939,a=3052,s=465}
{x=1474,m=626,a=3495,s=358}
{x=311,m=121,a=10,s=1583}
{x=319,m=436,a=104,s=2675}
{x=17,m=268,a=102,s=355}
{x=1563,m=202,a=902,s=463}
{x=2628,m=741,a=142,s=2541}
{x=424,m=187,a=179,s=923}
{x=1437,m=2423,a=1113,s=283}
{x=612,m=561,a=1684,s=43}
{x=2063,m=1404,a=1118,s=631}
{x=1629,m=844,a=1559,s=626}
{x=1598,m=1205,a=994,s=184}
{x=2251,m=2234,a=511,s=103}
{x=1658,m=2567,a=154,s=713}
{x=163,m=602,a=203,s=71}
{x=1331,m=2231,a=1585,s=59}
{x=1088,m=2145,a=1461,s=219}
{x=1812,m=872,a=566,s=2157}
{x=866,m=1976,a=2365,s=64}
{x=1623,m=436,a=89,s=32}
{x=436,m=1464,a=1513,s=26}
{x=142,m=18,a=1061,s=427}
{x=1091,m=1035,a=336,s=563}
{x=597,m=530,a=1473,s=192}
{x=754,m=11,a=174,s=1880}
{x=430,m=2622,a=1043,s=2065}
{x=1052,m=1726,a=841,s=1094}
{x=878,m=1672,a=223,s=1124}
{x=149,m=1464,a=282,s=1473}
{x=1515,m=577,a=292,s=2542}
{x=1117,m=1273,a=415,s=74}
{x=1047,m=1777,a=153,s=2337}
{x=169,m=871,a=791,s=1517}
{x=3455,m=104,a=1598,s=2622}
{x=230,m=447,a=1525,s=212}
{x=2503,m=302,a=310,s=40}
{x=1682,m=3511,a=2215,s=1510}
{x=89,m=324,a=2092,s=375}
{x=885,m=1067,a=2963,s=766}
{x=2593,m=866,a=731,s=1154}
{x=1252,m=285,a=950,s=1766}
{x=1100,m=1695,a=1620,s=716}
{x=1068,m=1938,a=893,s=462}
{x=1141,m=500,a=1510,s=229}
{x=87,m=1236,a=616,s=218}
{x=106,m=12,a=1768,s=990}
{x=1735,m=95,a=227,s=2341}
{x=1490,m=301,a=1659,s=198}
{x=1895,m=1357,a=2076,s=2330}
{x=452,m=1612,a=79,s=418}
{x=3441,m=46,a=879,s=244}
{x=1004,m=1426,a=355,s=115}
{x=716,m=594,a=205,s=198}
{x=2899,m=2325,a=125,s=332}
{x=235,m=702,a=750,s=9}
{x=1412,m=437,a=475,s=51}
{x=1896,m=1033,a=641,s=106}
{x=939,m=3138,a=1854,s=923}
{x=1167,m=36,a=1956,s=434}
{x=52,m=324,a=229,s=31}
{x=1949,m=2882,a=34,s=135}
{x=1981,m=382,a=80,s=526}
{x=2716,m=590,a=1598,s=99}
{x=3290,m=1882,a=507,s=7}
{x=379,m=795,a=1123,s=3023}
{x=423,m=2569,a=2239,s=1321}
{x=2690,m=2455,a=205,s=38}
{x=41,m=2372,a=255,s=539}
{x=254,m=1915,a=413,s=2193}
{x=516,m=996,a=800,s=1465}
{x=178,m=84,a=288,s=775}
{x=451,m=2169,a=73,s=93}
{x=1873,m=145,a=286,s=71}
{x=1551,m=554,a=91,s=1268}
{x=1741,m=2,a=1526,s=217}
{x=2409,m=225,a=1168,s=52}
{x=591,m=210,a=514,s=436}
{x=781,m=2544,a=711,s=2165}
{x=209,m=696,a=73,s=1387}
{x=875,m=522,a=530,s=10}
{x=70,m=1017,a=80,s=2242}
{x=3416,m=3600,a=1340,s=1351}
{x=222,m=2254,a=323,s=507}
{x=246,m=1236,a=545,s=1183}
{x=425,m=2,a=211,s=128}
{x=61,m=560,a=294,s=175}
{x=1773,m=1295,a=2256,s=366}
{x=1977,m=2996,a=1208,s=325}
{x=81,m=69,a=175,s=873}
{x=269,m=269,a=1353,s=1003}
{x=176,m=914,a=681,s=384}
{x=257,m=967,a=1588,s=1}
